,Date,Name,Fare
680,21-Apr-11,Allen Armold,17
681,22-Sep-11,Sanjit Engle,210
682,19-Nov-11,Robert Marley,683
683,2-Sep-11,Andy Gerbode,560
684,11-Mar-11,Kelly Andreada,109
685,10-Nov-11,Ruben Dartt,808
686,17-Mar-11,Annie Zypern,25
687,19-Apr-11,Allen Goldenen,129
688,24-Nov-11,Vivek Gonzalez,152
689,9-May-11,Sean Braxton,159
690,26-Jul-11,Jack O'Briant,112
691,14-Sep-11,John Castell,150
692,7-Nov-11,Steven Cartwright,725
693,25-Jun-11,Noel Staavos,448
694,30-Sep-11,Maya Herman,15
695,6-Jun-11,Grant Thornton,1158
696,23-Nov-11,Sally Matthias,23
697,7-Dec-11,Patrick O'Brill,106
698,10-May-11,Arianne Irving,202
699,28-Nov-11,Sheri Gordon,184
700,24-Jun-11,Liz Pelletier,4
701,17-Nov-11,Randy Bradley,670
702,19-Sep-11,Jim Kriz,6
703,16-Nov-11,Adam Hart,5
704,30-Apr-11,Justin MacKendrick,1001
705,20-Dec-11,Mark Hamilton,191
706,9-Jun-11,Thomas Seio,135
707,2-Apr-11,Anna H?berlin,178
708,5-May-11,Katharine Harms,45
709,14-Sep-11,Darrin Martin,4284
710,1-Jul-11,Laurel Workman,581
711,18-Nov-11,Michael Kennedy,393
712,9-Aug-11,Roger Demir,14
713,12-Jul-11,Paul Van Hugh,554
714,14-Nov-11,Chris Cortes,32
715,30-Mar-11,Mark Packer,715
716,26-Oct-11,Angele Hood,448
717,14-Nov-11,Jeremy Lonsdale,24
718,1-Aug-11,Ann Steele,6
719,14-Jan-11,Chris Selesnick,1287
720,27-Dec-11,Corey-Lock,63
721,19-Dec-11,Bart Pistole,832
722,28-Nov-11,Bart Folk,15
723,24-Nov-11,Darren Koutras,646
724,21-Mar-11,Kristen Hastings,3770
725,8-Sep-11,Karen Carlisle,117
726,20-Dec-11,Suzanne McNair,192
727,11-Nov-11,Tracy Zic,1167
728,27-Dec-11,Thomas Brumley,767
729,18-Nov-11,Joe Kamberova,1109
730,11-Jul-11,Laura Armstrong,1369
731,23-Sep-11,Shui Tom,139
732,23-Sep-11,Thomas Thornton,44
733,14-Oct-11,Hunter Glantz,2003
734,3-Jun-11,Richard Eichhorn,210
735,14-Jul-11,Shui Tom,111
736,18-Nov-11,Pierre Wener,182
737,18-May-11,Ted Trevino,165
738,28-Dec-11,Sung Pak,99
739,2-Apr-11,Rob Dowd,1221
740,26-Sep-11,Nicole Brennan,144
741,25-Jun-11,Grace Kelly,345
742,25-Nov-11,Laurel Workman,372
743,13-Oct-11,Marina Lichtenstein,265
744,23-Mar-11,Bruce Geld,10
745,3-Dec-11,Matthew Clasen,26
746,21-Feb-11,Steven Roelle,13
747,12-Nov-11,Denise Monton,8
748,4-Nov-11,Nathan Mautz,4807
749,11-Nov-11,Karen Daniels,1639
750,9-Jul-11,Brian Moss,25
751,27-Dec-11,Nathan Cano,5
752,1-Sep-11,Jack Lebron,35
753,29-Dec-11,Ricardo Emerson,48
754,22-Feb-11,Tamara Manning,9
755,16-Feb-11,Barry Franz?sisch,21
756,3-Nov-11,Shahid Hopkins,1396
757,7-Apr-11,Valerie Mitchum,259
758,29-Jun-11,Dan Lawera,33
759,31-May-11,Jim Karlsson,774
760,7-May-11,Carol Triggs,1091
761,5-Dec-11,David Kendrick,434
762,5-May-11,Peter Fuller,41
763,9-Aug-11,Matthew Grinstein,1310
764,11-Jul-11,Jamie Kunitz,165
765,29-Oct-11,Noah Childs,78
766,20-Aug-11,Craig Reiter,421
767,30-Dec-11,Dorothy Dickinson,39
768,20-Sep-11,Duane Noonan,587
769,20-Jun-11,Sam Craven,1354
770,11-Mar-11,Chloris Kastensmidt,19
771,4-Oct-11,Chris Cortes,589
772,25-Apr-11,Beth Thompson,2061
773,27-Dec-11,Cynthia Delaney,107
774,14-Nov-11,Robert Marley,81
775,13-May-11,Alejandro Grove,56
776,7-Jan-11,Maria Etezadi,4375
777,24-Nov-11,Richard Bierner,112
778,27-Nov-11,Jack O'Briant,200
779,13-Apr-11,Ben Ferrer,8
780,9-Aug-11,Andy Gerbode,194
781,21-Jan-11,Xylona Preis,709
782,27-Jan-11,Carol Adams,153
783,19-Sep-11,Bill Shonely,887
784,19-Jul-11,Eugene Moren,6
785,1-Nov-11,Paul Lucas,66
786,1-Mar-11,Giulietta Weimer,514
787,12-Feb-11,Guy Armstrong,535
788,26-Dec-11,Tracy Blumstein,192
789,12-Dec-11,Nora Preis,4631
790,8-Sep-11,Dennis Pardue,76
791,21-Sep-11,Matt Abelman,32
792,26-Nov-11,Natalie Webber,1123
793,26-Jul-11,Luke Foster,2657
794,30-Mar-11,Kunst Miller,50
795,5-Mar-11,Aimee Bixby,706
796,6-Jun-11,Stewart Visinsky,63
797,19-Dec-11,Speros Goranitis,372
798,19-Apr-11,Nicole Fjeld,76
799,27-Jul-11,Barry Blumstein,276
800,9-Dec-11,Thomas Seio,29
801,20-Oct-11,Fred Hopkins,427
802,9-Aug-11,Joseph Holt,2061
803,29-Aug-11,Ryan Akin,709
804,6-Apr-11,Scott Cohen,687
805,21-Oct-11,Sylvia Foulston,36
806,14-May-12,Claudia Bergmann,1453
807,13-Apr-12,Heather Jas,86
808,17-May-12,Dianna Vittorini,87
809,20-Nov-12,Brian Moss,258
810,22-Nov-12,Irene Maddox,12
811,25-Sep-12,Anne McFarland,17
812,2-Nov-12,Scot Wooten,110
813,19-Dec-12,Suzanne McNair,128
814,15-Sep-12,Ann Chong,151
815,16-May-12,Tracy Hopkins,256
816,31-May-12,Janet Molinari,235
817,6-Apr-12,Mark Hamilton,48
818,9-Apr-12,Ivan Gibson,370
819,9-Feb-12,Michael Stewart,21
820,5-Dec-12,Scot Wooten,74
821,10-Feb-12,Nona Balk,77
822,18-Sep-12,Charlotte Melton,444
823,27-Aug-12,Philip Fox,150
824,9-Jun-12,Max Jones,175
825,27-Dec-12,David Bremer,1569
826,27-Nov-12,Carlos Daly,284
827,4-Sep-12,Ken Black,10
828,12-Sep-12,Tamara Manning,193
829,21-Sep-12,Chad Sievert,200
830,22-Sep-12,Sanjit Jacobs,764
831,12-Oct-12,Mark Packer,1669
832,29-Feb-12,Dave Hallsten,201
833,24-Aug-12,Katrina Willman,3748
834,15-Sep-12,Natalie Webber,1919
835,18-Apr-12,Kelly Williams,107
836,21-Nov-12,John Huston,18
837,21-May-12,Henry Goldwyn,25
838,7-Nov-12,Karen Bern,191
839,5-Apr-12,Jennifer Ferguson,264
840,7-Sep-12,Lisa Ryan,806
841,27-Sep-12,Helen Wasserman,42
842,3-Feb-12,Frank Olsen,75
843,24-Jul-12,Shirley Schmidt,526
844,30-May-12,Edward Nazzal,529
845,8-Dec-12,Joel Jenkins,120
846,30-Apr-12,Ken Black,54
847,1-Dec-12,Beth Thompson,14
848,28-Jun-12,Mark Packer,260
849,26-Mar-12,Benjamin Venier,74
850,24-Sep-12,Shaun Chance,1173
851,27-Dec-12,Sung Pak,284
852,25-Sep-12,Dan Reichenbach,900
853,9-Aug-12,Hallie Redmond,687
854,5-Nov-12,Nathan Gelder,20
855,6-Feb-12,Lori Olson,177
856,1-Mar-12,Tracy Poddar,96
857,13-Jun-12,Frank Carlisle,3
858,12-Jun-12,Jonathan Howell,56
859,27-Feb-12,Erin Smith,600
860,4-Jan-12,Andrew Gjertsen,192
861,29-May-12,Chad Cunningham,85
862,11-Dec-12,Irene Maddox,730
863,1-May-12,Patrick O'Brill,85
864,2-Oct-12,Ed Braxton,58
865,2-Jan-12,Claudia Bergmann,115
866,1-Sep-12,Daniel Raglin,1388
867,30-Mar-12,Daniel Raglin,367
868,13-Jun-12,Dave Hallsten,976
869,13-Nov-12,Keith Herrera,723
870,15-Sep-12,Brendan Murry,139
871,5-Sep-12,Sung Pak,43
872,1-Nov-12,Valerie Mitchum,39
873,6-Nov-12,Meg Tillman,11
874,24-Nov-12,Darren Powers,384
875,29-Mar-12,Chad McGuire,18
876,24-Sep-12,Jamie Frazer,40
877,7-Nov-12,Christine Phan,1362
878,7-Sep-12,Marc Crier,41
879,18-Oct-12,Kristina Nunn,101
880,8-Mar-12,Dana Kaydos,2532
881,8-Nov-12,Helen Abelman,12
882,21-Nov-12,Carol Adams,698
883,18-Feb-12,Guy Thornton,97
884,25-Oct-12,Jennifer Ferguson,79
885,2-Mar-12,Pete Armstrong,112
886,23-Jun-12,Randy Ferguson,268
887,10-Dec-12,Julia West,53
888,16-Apr-12,Brad Norvell,13
889,13-Apr-12,Eugene Barchas,721
890,25-Sep-12,Emily Burns,1045
891,11-Dec-12,Lena Creighton,10
892,20-Mar-12,Bart Watters,52
893,28-Sep-12,Zuschuss Carroll,18
894,10-Jul-12,Mike Vittorini,40
895,21-Nov-12,Brenda Bowman,40
896,18-Dec-12,Michael Kennedy,7
897,21-Apr-12,Juliana Krohn,893
898,30-Nov-12,John Murray,107
899,8-Mar-12,Fred Chung,3
900,28-Aug-12,Suzanne McNair,470
901,3-May-12,Julia Barnett,666
902,1-Nov-12,MaryBeth Skach,302
903,8-Nov-12,Noel Staavos,81
904,29-Aug-12,Chad Cunningham,247
905,5-Jan-12,Brooke Gillingham,90
906,6-Jul-12,Kalyca Meade,896
907,10-Sep-12,Frank Atkinson,107
908,5-Mar-12,Katherine Nockton,479
909,19-Dec-12,Eileen Kiefer,25
910,20-Apr-12,Olvera Toch,181
911,23-Oct-12,Craig Carroll,547
912,31-Dec-12,Jas O'Carroll,488
913,21-Nov-12,Denise Leinenbach,508
914,8-Nov-12,Rob Haberlin,751
915,31-Dec-12,Karen Carlisle,596
916,5-Mar-12,Luke Foster,976
917,18-Sep-12,Ken Heidel,2504
918,26-Jan-12,Elizabeth Moffitt,183
919,15-Dec-12,Joseph Holt,1055
920,25-May-12,Craig Yedwab,467
921,10-Oct-12,Denny Joy,45
922,25-Oct-12,Heather Kirkland,450
923,8-May-12,Allen Armold,5
924,29-Nov-12,Bill Tyler,1127
925,3-Dec-12,Alejandro Ballentine,53
926,4-Dec-12,Ritsa Hightower,8
927,29-Oct-12,Nona Balk,244
928,1-Dec-12,Matt Abelman,42
929,9-Mar-12,Toby Gnade,5
930,2-Mar-12,Dave Kipp,788
931,4-May-12,Anna H?berlin,946
932,17-Mar-12,Harold Ryan,49
933,4-Apr-12,Nicole Fjeld,211
934,7-Sep-12,Helen Andreada,672
935,16-Oct-12,Michael Paige,825
936,5-Dec-12,Brian Derr,420
937,17-Nov-12,Anna Andreadi,1971
938,12-Dec-12,Karen Daniels,326
939,23-Oct-12,Joe Elijah,187
940,20-Nov-12,Phillina Ober,344
941,9-Jun-12,Anthony Garverick,113
942,31-Jul-12,Steve Chapman,53
943,1-Dec-12,Lindsay Castell,2677
944,26-Dec-12,Mick Crebagga,52
945,9-Jul-12,Claudia Bergmann,130
946,11-Apr-12,Sanjit Engle,514
947,13-Nov-12,Joe Kamberova,115
948,18-Jul-12,Roland Fjeld,520
949,18-Feb-12,Ann Blume,9
950,17-Aug-12,Shaun Chance,52
951,27-Feb-12,Bill Tyler,20
952,29-May-12,Victoria Pisteka,367
953,23-Nov-12,Victoria Brennan,386
954,26-Sep-12,Philip Fox,50
955,6-Feb-12,Victoria Wilson,5
956,31-Aug-12,Scott Cohen,1967
957,28-Nov-12,Eugene Barchas,74
958,2-Jul-12,Karl Braun,28
959,25-Dec-12,Ralph Arnett,1231
960,19-Mar-12,Fred Hopkins,4607
961,19-Jun-12,Paul Prost,6
962,11-Nov-12,Andrew Gjertsen,542
963,8-Nov-12,Duane Benoit,10
964,13-Aug-12,Odella Nelson,51
965,11-Oct-12,Shahid Hopkins,32
966,16-Mar-12,Jeremy Ellison,172
967,3-May-12,Stewart Visinsky,1058
968,28-Jun-12,Craig Yedwab,628
969,5-Aug-12,Anna H?berlin,73
970,20-Nov-12,Katrina Bavinger,155
971,31-Aug-12,Andrew Roberts,58
972,21-Dec-12,Roger Demir,78
973,4-Apr-12,Nat Carroll,1274
974,10-Oct-12,David Philippe,8
975,25-Apr-12,John Lucas,206
976,22-Sep-12,Daniel Lacy,205
977,12-Jul-12,Fred McMath,307
978,2-Aug-12,Darren Koutras,278
979,10-Dec-12,Ryan Akin,25
980,27-Aug-12,Chad Cunningham,5
981,19-Mar-12,Berenike Kampe,106
982,24-Sep-12,Maria Bertelson,98
983,1-Nov-12,Valerie Dominguez,2220
984,25-Dec-12,Jim Karlsson,1293
985,15-Nov-12,Dean Katz,270
986,3-Sep-12,Cathy Prescott,238
987,9-Nov-12,Anthony Garverick,11
988,16-Jul-12,Eleni McCrary,2049
989,4-Sep-12,Shaun Chance,8
990,12-Nov-12,Anna H?berlin,793
991,24-Aug-12,Shahid Collister,15
992,19-Oct-12,Nicole Hansen,188
993,8-May-12,Claudia Bergmann,8
994,14-Dec-12,Eric Hoffmann,29
995,13-Jul-12,Natalie DeCherney,1953
996,13-Mar-12,Marc Crier,142
997,13-Oct-12,Art Foster,372
998,23-Aug-12,Tamara Dahlen,60
999,13-Nov-12,Allen Armold,85
1000,8-Nov-12,Keith Dawkins,5851
1001,8-Feb-12,Lisa Hazard,108
1002,5-Oct-12,Joel Jenkins,75
1003,5-Jun-12,Brenda Bowman,11
1004,1-Oct-12,Robert Marley,334
1005,19-Dec-12,Arthur Gainer,7
1006,25-Apr-12,Linda Southworth,21
1007,21-Nov-12,Natalie Webber,208
1008,13-Sep-12,Zuschuss Carroll,1716
1009,10-Dec-12,Frank Carlisle,56
1010,18-Apr-12,Darren Powers,210
1011,13-Nov-12,Ken Lonsdale,810
1012,19-Sep-12,Tracy Collins,62
1013,14-Sep-12,Brad Eason,26
1014,26-Jun-12,Sue Ann Reed,535
1015,25-Jun-12,Alan Barnes,414
1016,15-Feb-12,Justin MacKendrick,627
1017,6-Jul-12,Barbara Fisher,11
1018,20-Nov-12,Jamie Kunitz,205
1019,9-Apr-12,Mick Crebagga,18
1020,28-Jan-12,Joseph Holt,4298
1021,2-May-12,Noah Childs,167
1022,5-Jul-12,Barbara Fisher,12
1023,14-Apr-12,Theone Pippenger,35
1024,14-Feb-12,Ted Trevino,652
1025,8-Nov-12,Quincy Jones,4405
1026,27-Dec-12,Steve Nguyen,1229
1027,8-Nov-12,Maria Zettner,377
1028,10-Sep-12,Matt Collins,354
1029,21-Sep-12,Tracy Hopkins,1133
1030,23-Dec-12,Bradley Drucker,194
1031,22-Mar-12,Debra Catini,598
1032,5-Dec-12,Tim Brockman,12
1033,26-Nov-12,Guy Phonely,192
1034,24-Apr-12,Deborah Brumfield,26
1035,24-Mar-12,Dennis Pardue,359
1036,5-Nov-12,Valerie Dominguez,387
1037,24-Oct-12,Andrew Gjertsen,373
1038,13-Sep-12,Jonathan Howell,200
1039,4-Dec-12,Harry Marie,418
1040,28-May-12,Neil Knudson,7
1041,16-Jun-12,Lycoris Saunders,253
1042,23-May-12,Kristen Hastings,51
1043,23-Jan-12,Carl Weiss,44
1044,14-May-12,Jesus Ocampo,570
1045,9-Jan-12,Craig Carroll,364
1046,4-Dec-12,Tracy Zic,42
1047,26-Dec-12,Roger Barcio,275
1048,14-Dec-12,Muhammed MacIntyre,4
1049,17-Aug-12,Steven Cartwright,329
1050,11-Aug-12,Barry Weirich,46
1051,25-Jun-12,Mark Van Huff,129
1052,28-Dec-12,Eric Murdock,54
1053,21-Nov-12,Shahid Shariari,1364
1054,1-Dec-12,Logan Currie,55
1055,5-Apr-12,Ted Trevino,24
1056,24-Dec-12,Maribeth Schnelling,226
1057,5-Mar-12,Mike Vittorini,32
1058,26-Sep-12,Sarah Foster,167
1059,14-Sep-12,Christina Anderson,913
1060,2-Jul-12,Richard Bierner,33
1061,14-Jun-12,Alan Dominguez,51
1062,16-Nov-12,John Grady,19
1063,13-Aug-12,Clytie Kelty,6
1064,13-Apr-12,Sonia Sunley,17
1065,21-Mar-12,Julia West,1270
1066,31-May-12,Bill Donatelli,2568
1067,28-Apr-12,Shirley Daniels,4000
1068,23-Jul-12,Tracy Hopkins,198
1069,25-Sep-12,Marina Lichtenstein,23
1070,29-May-12,John Lucas,741
1071,31-Dec-12,Barry Gonzalez,162
1072,28-Sep-12,Jennifer Jackson,602
1073,3-Nov-12,Chris Selesnick,7
1074,3-Jan-12,Sylvia Foulston,10
1075,17-Jul-12,Victoria Brennan,21
1076,28-Aug-12,Cassandra Brandow,2018
1077,29-Mar-12,Denny Ordway,73
1078,4-Oct-12,Alex Avila,27
1079,30-Mar-12,Fred Chung,204
1080,22-Mar-12,Fred Wasserman,20
1081,3-Sep-12,Jennifer Braxton,238
1082,10-Dec-12,Keith Dawkins,1000
1083,10-Aug-12,Bill Donatelli,65
1084,11-Jun-12,Jim Epp,3166
1085,16-Feb-12,Rob Dowd,125
1086,10-Nov-12,Philisse Overcash,2165
1087,30-Jan-12,Charles Crestani,2147
1088,19-Jun-12,Logan Haushalter,206
1089,21-Aug-12,Henry Goldwyn,53
1090,30-Nov-12,William Brown,258
1091,31-Oct-12,Harold Pawlan,70
1092,26-Apr-12,Sue Ann Reed,194
1093,18-Jun-12,Skye Norling,101
1094,26-Sep-12,Bryan Spruell,189
1095,2-Aug-12,Brad Eason,448
1096,7-Sep-12,Charles Crestani,48
1097,3-Dec-12,Dean Katz,485
1098,23-Jun-12,Rick Duston,202
1099,18-Jul-12,Pauline Johnson,147
1100,3-Dec-12,Jack Garza,289
1101,23-Nov-12,Annie Thurman,2643
1102,14-Nov-12,Gary Zandusky,1114
1103,9-Mar-12,Noel Staavos,473
1104,14-Dec-12,Doug Jacobs,320
1105,21-Jun-12,Emily Phan,108
1106,9-Jul-12,Kean Nguyen,49
1107,22-Nov-12,Andy Reiter,15
1108,8-Nov-12,Sanjit Chand,256
1109,30-Oct-12,Cathy Hwang,300
1110,24-Aug-12,Maurice Satty,469
1111,23-Jul-12,Melanie Seite,11
1112,20-Nov-12,Lena Creighton,645
1113,9-Oct-12,Brian Moss,736
1114,4-Jul-12,Alan Dominguez,15
1115,27-Apr-12,Greg Tran,2670
1116,9-Oct-12,Fred McMath,660
1117,6-Apr-12,Thomas Thornton,92
1118,24-Dec-12,David Bremer,167
1119,26-Sep-12,Rick Wilson,1044
1120,31-Jul-12,Rick Hansen,3420
1121,31-May-12,Stephanie Phelps,245
1122,26-Dec-12,David Flashing,213
1123,22-Jun-12,Michael Grace,796
1124,14-Dec-12,Keith Dawkins,62
1125,3-Oct-12,Mary Zewe,15
1126,5-Mar-12,Alan Haines,133
1127,27-Nov-12,Steve Nguyen,222
1128,26-Jun-12,Laura Armstrong,42
1129,2-Nov-12,Kelly Collister,448
1130,13-Dec-12,Matt Collins,10
1131,11-Apr-12,Patrick Ryan,122
1132,2-Oct-12,Nora Pelletier,7
1133,8-Oct-12,Brian Thompson,3
1134,11-Sep-12,Skye Norling,399
1135,27-Sep-12,Jamie Kunitz,2027
1136,3-Oct-12,Bruce Stewart,121
1137,11-Sep-12,George Bell,25
1138,14-Dec-12,Ashley Jarboe,50
1139,27-Aug-12,Ryan Akin,485
1140,9-Nov-12,Jesus Ocampo,2
1141,12-Jul-12,Rob Lucas,1745
1142,7-Nov-12,Doug O'Connell,77
1143,21-Sep-12,Stuart Van,1102
1144,17-Nov-12,Brian Stugart,1874
1145,1-Nov-12,Justin Hirsh,328
1146,20-Sep-12,Theone Pippenger,3
1147,21-Dec-12,Elpida Rittenbach,61
1148,25-Jun-12,Cathy Hwang,109
1149,26-Sep-12,Gene McClure,743
1150,3-Feb-12,Pauline Webber,91
1151,13-Jun-12,Jennifer Jackson,37
1152,19-Dec-12,Jay Kimmel,527
1153,12-Dec-12,Jonathan Doherty,130
1154,10-Dec-12,Meg Tillman,6
1155,9-Nov-12,Adam Shillingsburg,1085
1156,8-Aug-12,Rob Dowd,80
1157,21-Sep-12,Duane Huffman,85
1158,20-Mar-12,Joe Kamberova,21
1159,26-Jul-12,Cyma Kinney,266
1160,18-Oct-12,John Castell,278
1161,9-Aug-12,Monica Federle,154
1162,14-Sep-12,Christopher Martinez,269
1163,12-Mar-12,Edward Becker,46
1164,31-Mar-12,Ed Braxton,121
1165,3-Jul-12,Bruce Degenhardt,366
1166,22-Jun-12,Ken Lonsdale,5
1167,2-Oct-12,Resi P?lking,11
1168,12-Jan-12,Cindy Schnelling,389
1169,29-Jun-12,Steven Cartwright,20
1170,24-Jan-12,Cyra Reiten,13
1171,12-Sep-12,Craig Carreira,22
1172,12-Dec-12,Eric Murdock,8
1173,9-Oct-12,Dave Kipp,31
1174,29-Nov-12,Anthony Witt,30
1175,10-May-12,Dennis Pardue,108
1176,8-Aug-12,Denny Blanton,601
1177,8-Jul-12,Darrin Martin,21
1178,15-Oct-12,Pete Armstrong,340
1179,15-Nov-12,Victoria Pisteka,167
1180,8-Dec-12,Yana Sorensen,458
1181,28-Sep-12,Roy Phan,352
1182,4-May-12,Laura Armstrong,22
1183,21-Feb-12,Joe Elijah,49
1184,22-Aug-12,Roger Barcio,17
1185,15-Jun-12,Peter Fuller,497
1186,2-Oct-12,Henry MacAllister,569
1187,10-Aug-12,Julie Kriz,75
1188,27-Dec-12,Aaron Hawkins,991
1189,13-Nov-12,Patrick O'Brill,614
1190,3-Sep-12,David Bremer,179
1191,23-Mar-12,Sheri Gordon,59
1192,14-Dec-12,Paul Prost,15
1193,25-Apr-12,Zuschuss Carroll,349
1194,21-Aug-12,David Smith,667
1195,7-Apr-12,Frank Merwin,12
1196,5-Jul-12,Victor Preis,19
1197,4-Dec-12,Maribeth Schnelling,2202
1198,7-Dec-12,Jeremy Farry,7
1199,5-Sep-12,Arthur Gainer,733
1200,28-Apr-12,Russell Applegate,45
1201,25-Oct-12,Deirdre Greer,582
1202,29-Dec-12,Roy Franz?sisch,6
1203,12-May-12,Annie Zypern,37
1204,26-Sep-12,Tracy Blumstein,413
1205,2-Nov-12,Jas O'Carroll,1039
1206,27-Nov-12,Matt Abelman,1171
1207,1-Nov-12,Quincy Jones,5
1208,5-Nov-12,Ken Lonsdale,98
1209,19-Oct-12,Tracy Blumstein,34
1210,9-Aug-12,Naresj Patel,3386
1211,8-Oct-12,Gene Hale,73
1212,5-Nov-12,George Bell,207
1213,31-Oct-12,Mary Zewe,14
1214,28-Mar-12,Alan Barnes,200
1215,14-Sep-12,Stefania Perrino,170
1216,28-May-12,Karl Braun,61
1217,12-Jun-12,Laurel Elliston,30
1218,12-May-12,James Galang,769
1219,6-Dec-12,Dennis Kane,594
1220,22-Aug-12,Dave Poirier,50
1221,19-Mar-12,Jesus Ocampo,454
1222,8-Mar-12,Frank Olsen,9
1223,23-Feb-12,Lindsay Castell,38
1224,30-Oct-12,Thomas Thornton,183
1225,22-Feb-12,Penelope Sewall,79
1226,10-Oct-12,Katherine Nockton,393
1227,11-Sep-12,Don Miller,1082
1228,23-Oct-12,Jay Fein,1447
1229,30-Jul-12,Corey Catlett,62
1230,31-Oct-12,Kean Thornton,83
1231,9-Jul-12,Brian Thompson,1134
1232,3-Feb-12,Ken Heidel,12
1233,19-Sep-12,Rick Wilson,23
1234,10-Sep-12,Charles Crestani,52
1235,25-May-12,Muhammed MacIntyre,263
1236,27-Mar-12,Mark Van Huff,84
1237,17-Sep-12,Meg O'Connel,32
1238,18-Jun-12,Keith Herrera,1046
1239,13-Aug-12,Grace Kelly,65
1240,5-Oct-12,Jeremy Farry,357
1241,13-Apr-12,Zuschuss Carroll,911
1242,1-Mar-12,Resi P?lking,4
1243,28-Mar-12,John Huston,23
1244,1-Mar-12,Craig Molinari,1283
1245,31-May-12,Sample Company A,22
1246,13-Apr-12,Thea Hendricks,11
1247,6-Sep-12,Alyssa Tate,3
1248,12-Dec-12,Helen Abelman,527
1249,11-Dec-12,Jim Kriz,111
1250,17-Dec-12,Paul Gonzalez,450
1251,10-Apr-12,Eugene Hildebrand,157
1252,16-Mar-12,Maurice Satty,499
1253,10-Oct-12,John Dryer,1802
1254,12-Oct-12,Daniel Lacy,412
1255,27-Dec-12,Maribeth Dona,105
1256,4-Oct-12,Julie Kriz,86
1257,7-Dec-12,Darren Koutras,437
1258,7-Nov-12,Karen Bern,24
1259,5-Dec-12,Stephanie Ulpright,153
1260,22-Sep-12,Michael Grace,80
1261,28-May-12,Maxwell Schwartz,633
1262,30-Apr-12,Benjamin Patterson,1023
1263,6-Aug-12,Rachel Payne,468
1264,7-Dec-12,Melanie Seite,80
1265,9-Jul-12,Matt Collins,270
1266,28-Mar-12,Chloris Kastensmidt,21
1267,9-Feb-12,Frank Atkinson,81
1268,19-Sep-12,Giulietta Weimer,280
1269,5-Sep-12,Tamara Willingham,68
1270,24-Dec-12,Harold Ryan,884
1271,24-Nov-12,Kunst Miller,266
1272,30-Dec-12,Clay Ludtke,3251
1273,8-Dec-12,Tonja Turnell,2079
1274,16-Nov-12,Mike Pelletier,2233
1275,11-May-12,Paul Stevenson,192
1276,11-Dec-12,Cynthia Arntzen,324
1277,12-Jun-12,Sam Zeldin,25
1278,13-Nov-12,Fred McMath,233
1279,28-Nov-12,Tom Prescott,323
1280,31-May-12,Muhammed Lee,10
1281,2-Apr-12,Cari Sayre,9
1282,20-Nov-12,Chris Selesnick,140
1283,11-Jul-12,Todd Sumrall,1137
1284,10-Sep-12,Bobby Odegard,6
1285,6-Dec-12,David Bremer,9
1286,13-Sep-12,Arthur Gainer,178
1287,26-Jul-12,Helen Andreada,168
1288,8-May-12,Daniel Lacy,546
1289,23-May-12,Nathan Mautz,926
1290,6-Feb-12,Trudy Schmidt,692
1291,20-Dec-12,Emily Ducich,101
1292,31-Mar-12,Scott Cohen,80
1293,1-Dec-12,Tamara Willingham,4211
1294,15-Dec-12,Jim Kriz,3
1295,13-Jun-12,Barbara Fisher,6
1296,26-Apr-12,Bart Watters,486
1297,7-May-12,Anna Gayman,260
1298,13-Jan-12,Philip Brown,612
1299,19-Sep-12,Marc Harrigan,8
1300,22-Nov-12,Nathan Gelder,114
1301,25-Jun-12,Jill Fjeld,205
1302,14-Nov-12,Patrick Jones,135
1303,30-Nov-12,Janet Lee,705
1304,1-Sep-12,Doug Bickford,979
1305,16-Apr-12,Lauren Leatherbury,2299
1306,6-Sep-12,Beth Thompson,198
1307,29-Nov-12,Sylvia Foulston,1542
1308,23-Mar-12,Bart Pistole,33
1309,7-Aug-12,Jim Karlsson,107
1310,13-Sep-12,Anne McFarland,13
1311,27-Feb-12,Nora Paige,539
1312,15-May-12,Fred Chung,52
1313,17-Jul-12,Jessica Myrick,195
1314,2-Nov-12,Emily Grady,198
1315,14-Nov-12,Ken Black,260
1316,25-May-12,Justin Hirsh,846
1317,15-Nov-12,Maya Herman,225
1318,22-Nov-12,Meg O'Connel,207
1319,23-Jun-12,Christine Sundaresam,367
1320,25-Jul-12,Russell D'Ascenzo,624
1321,26-Oct-12,Maribeth Yedwab,6
1322,10-Sep-12,Alex Russell,180
1323,24-Aug-12,Eleni McCrary,310
1324,15-Oct-12,Joel Eaton,2717
1325,25-Sep-12,Dana Kaydos,129
1326,31-Dec-12,Anna H?berlin,116
1327,12-Jun-12,Giulietta Baptist,64
1328,13-Dec-12,Dean percer,57
1329,7-Apr-12,Peter Fuller,847
1330,20-Jun-12,Stewart Carmichael,384
1331,5-Mar-12,Maribeth Schnelling,257
1332,2-Oct-12,Sheri Gordon,27
1333,3-Nov-12,Corinna Mitchell,1345
1334,7-Sep-12,Tanja Norvell,560
1335,2-Jul-12,Frank Atkinson,246
1336,30-Nov-12,Paul Stevenson,89
1337,3-Feb-12,Allen Armold,178
1338,14-Sep-12,Craig Carroll,1884
1339,9-Jun-12,Trudy Glocke,496
1340,9-Oct-12,Tim Brockman,656
1341,17-Sep-12,Denny Blanton,87
1342,3-Jan-12,Amy Hunt,1758
1343,19-Jan-12,Paul MacIntyre,302
1344,30-Nov-12,Lena Radford,440
